# Zodiacal light brightness. 
# Units are (10th V-mag Solar-type stars per square degree)
# First row is ecliptic latitude, first column helioecliptic longitude
#
# "A.C. Levasseur-Regourd and R. Dumont, ""Absolute Photometry of Zodiacal
# Light,"" Astr. and Ap., 84, 277 (1980)"
  0       0       5      10      15      20      25      30     35      40      45      50      55      60      65      70	75      80     85      90
180     180     166     152     139     127     116     105     96      89	82      76      71      66      62      59      58	58     60      63
175     169     163     151     138     126     115     105     96      89	82      76      71      66      62      59      58	58     60      63
170     161     158     147     135     123     114     104     96      89	82      76      70      66      62      59      58	    58  60      63
165     153     150     140     129     118     110     102     95      88	81      75      70      65      62      59      58	    58  60      63
160     147     144     134     122     113     106     98      93      86	80      75      69      65      61      59      58	    59  61      63
155     143     140     130     118     110     102     94      89      83	78      73      68      64      61      58      58	    59  61      63
150     140     139     129     116     107     99      91      86      80	75      71      67      63      60      58      58	    59  61      63
145     139     138     129     115     106     97      89      83      77	73      69      65      62      60      58      58	    59  61      63
140     139     138     129     115     105     96      87      81      75	71      67      64      62      60      58      59	    60  61      63
135     140     139     130     115     105     95      86      80      74	70      66      63      61      59      58      59	    60  62      63
130     141     140     132     116     105     95      86      80      74	69      65      63      61      60      59      60	    60  62      63
125     144     142     135     118     106     96      87      80      74	69      65      63      61      60      59      60	    61  62      63
120     147     145     138     120     108     98      88      81      75	70      66      63      61      60      59      60	    61  62      63
115     152     150     143     124     111     100     89      82      76	71      67      64      62      61      60      61	    61  62      63
110     158     156     148     128     113     101     91      84      78	73      68      65      63      61      61      61	    62  62      63
105     166     164     154     133     117     104     93      86     	80	75      70      67      64      62      61      62	    62  62      63
100     175     172     160     137     120     107     96      89      82	77      72      68      65      63      62      62	    62  62      63
95      187     184     168     144     125     111     99      92      84	79      74      70      66      64      63      63	    62  63      63
90      202     196     176     151     130     115     103     95      87	81      76      72      68      66      64      64	    63  63      63
85      219     211     186     158     137     121     108     99      90	84      79      74      70      68      65      64	    63  63      63
80      239     227     197     167     144     127     113     103     94	87      82      77      72      70      67      65	    64  63      63
75      264     248     210     177     153     134     118     107     98	91      85      79      74      71      68      66	    64  63      63
70      296     273     228     188     162     142     124     112     103	95      88      82      77      73      69      67	    65  64      63
65      338     305     250     205     174     152     133     120     109	99      92      85      79      75      70      68	    65  64      63
60      394     342     275     228     190     163     143     129     116	105     96      89      82      77      72      69	    66  64      63
55      470     395     310     253     209     179     158     140     125	113     103     93      85      79      74      70	    66  64      63
50      572     458     355     285     238     200     173     152     135	120     108     98      89      82      76      71	    67  65      63
45      712     550     422     335     270     228     195     168     146	130     115     103     92      84      78      72	    67  65      63
40      920     695     510     400     316     262     220     186     160	140     123     108     95      87      80      74	    68  65      63
35      1275    905     630     495     384     312     250     208    	 177	151     132     113     99      90      82      75	    69  66      63
30      1930    1210    825     615     475     370     285     230     194	162     140     119     103     93      84      76	    70  66      63
25                                      580     425     320     253     209	174     150     126     107     96      86      78	    72  67      63
20                                              490     355     278     226	185     157     130     111     98      88      79	    73  67      63
15                                                      410     310    	 242	196     162     136     115     100     89      80	    73  67      63
10                                                      460     340     260	206     167     138     117     102     90      80	    74  68      63
5                                                       490     355     271	212     169     139     118     103     90      80	    74  68      63
0                                                       500     360     275	215     170     140     118     103     90      80	    74  68      63
